stpl_fips,Absenteeism,Air pollution - particulate matter,Binge drinking,Breast cancer deaths,Cardiovascular disease deaths,Children in Poverty,Colorectal cancer deaths,Dental care,Diabetes,Frequent mental distress,Frequent physical distress,High blood pressure,High school graduation,"Housing cost, excessive",Housing with potential lead risk,Income Inequality,Life expectancy,Limited access to healthy foods,Neighborhood racial/ethnic segregation,Obesity,Opioid overdose deaths,Park access,Physical inactivity,Premature deaths (all causes),Preventive services,Racial/ethnic diversity,Smoking,Third-grade reading proficiency,Unemployment,Uninsured,Violent crime,Walkability,LERI_1,LERI_2,LERI_3,LERI_4,LERI_5,LERI_6,LERI_7,LERI_8,LERI_9,LERI_10
803455,0.6514751851357216,-0.8376364760505823,0.8570533025061108,-0.6421348594720777,-0.8082907744249406,-1.2625875885975455,-0.4223978651051752,0.9047898660888178,-1.4721653187781907,-1.1713222076970307,-0.6926297727497365,-0.8481078132816796,0.4174880222601091,-1.1003526628890694,-0.514975726186281,0.9339684157679703,0.49636655823189507,0.814416380882136,-0.35785527384074145,-0.9325667358028633,-0.2815175865216157,1.7238430054357572,-1.707026121926163,-0.3986978432872586,0.9368227157943124,-1.4671672667886064,-0.1933907126429105,-0.36704284684441324,-1.3416920487472728,-1.138845002637601,-1.1216539638411256,0.5534189219059019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
804000,1.2759555456622667,-0.707809748459612,-0.06081913519271786,0.7490910910671046,-0.9405236783932709,-0.05598626538773696,-0.677971238991108,-0.17441245094350744,-1.0529739353896688,-0.25317642687973635,-0.46428394507983095,-0.3937254425417562,-0.988923578928856,0.17706610325069153,-0.8486993652579249,0.1995714572582765,-0.2034592666540385,-0.06876174584986522,0.1554172438441161,-0.590656239011166,0.06782610730779015,1.3024477633182439,-0.6161788947793417,0.069522171111918,0.2513708212818402,1.1881472533124353,0.45287719464919884,-1.2213876034015294,-0.22942013941815284,0.6321294952251568,0.7225888419843686,1.1692336873998435,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
807850,-0.6191384462412077,-1.665490686983512,1.7906392885935465,-0.44315978819907315,-1.6402896625464451,-1.3790921302353796,-1.6920171435479452,0.8224729504425207,-2.85569338100974,-0.9172013723595198,-1.8024394476604326,-2.898435351054768,0.750608778429183,0.856248384209251,-0.02532034601324299,0.5502925107259758,1.4959601458428018,-0.8244946447046977,-0.8568865435673193,-2.5753481096538575,-0.23499964144694635,1.3970867820427189,-2.6525551120708744,-0.9158420682290557,1.3077185360128427,-1.5661059984385148,-1.1687304293090102,0.7547360576954077,-0.4477123146124155,-1.4214842318458238,-0.6960883255994583,1.0442555420605624,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
812815,-0.43784166887341114,-0.969633393568084,0.44782549527371457,-1.2269865282952732,-2.0389210638684143,-1.9575771643061446,-2.3006330782988917,1.8713693398179763,-1.9560950883123915,-1.8787561541551288,-1.7556959895172684,-0.6781886724595089,-0.3928776147808694,-2.0165500322807253,-0.9826602662361026,1.6729112439486622,1.2715017618397526,-0.047710907422263235,-0.6319747044311368,-1.6482850893965821,-0.4132246603333992,1.427056370149295,-2.092917922788594,-1.557578765165154,1.787384988977735,-0.8089284655009346,-1.1395063565228842,0.6942470111314277,-1.4902309881307574,-1.5115392872535807,-1.1214270690509833,-0.09664673333338525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816000,0.9579391452659108,-2.272111720051277,-0.5999579707811535,-0.04005857750744742,-0.17666158641812746,-0.34580391465046284,0.2646370489815519,0.39251708303390104,-1.261366513225458,-0.5091179977564286,-0.32770244790852676,-0.9465867900341726,-0.7021581425938411,-0.2822132959355,-0.3047141702367505,0.2392973501762967,0.17167402563830517,0.8227864122512353,-0.5535380995074033,-0.8567384623913721,0.4409987297453374,0.637382315337119,-1.1738395798699526,0.38592210953296924,-0.287103621909489,-0.4044821505952063,-0.14030221943880802,-0.18582880436136098,0.21641560698217968,-0.36880957980842416,0.48530353386119107,-0.44758175274593465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820000,1.6218965258191027,-0.4543387228698011,2.177368863669758,-0.13432519261975162,-0.6415951750484982,0.2744664609047105,-0.03376917262804695,0.18157453153308814,-1.7392856653585709,-0.6113059219774801,-0.7384084587845613,-1.1720029808610495,-1.630120836134388,-0.1380911289864266,0.871925971743944,0.39428124442972795,-0.2034592666540385,-0.8578933460404591,1.3789039218175667,-1.6669993408136414,0.2439454486594679,1.6228185698558086,-1.425137603312298,-0.012540338253827284,0.4477274122670349,0.41253028385422524,0.12139961173375032,-0.6065250794780481,-1.129992330658839,0.1916845490795233,0.9305019761084516,1.3136802584302372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
827425,-1.62719118079763,-1.5211872347812567,1.3528409832693127,0.3810111735549396,-0.8680501830504623,-1.1239498850380092,0.020921937569228062,0.37851437805808047,-2.5684339689687588,-0.6113059219774801,-1.2907734227014434,-2.596082979439743,-0.9795758531416021,0.24833976670749236,-0.5684440024442862,0.271820964059834,0.8178111217785963,0.5768826199042899,-0.9479022635790728,-1.3291703338589027,-0.21981233516435614,0.22895329133905384,-2.139747809373828,-0.5803286041935584,0.5984713552629513,-1.4830375471559882,-0.4628068101731082,0.5090074007796567,-0.282715712431316,-0.9040983148597755,-0.7365584418806584,-0.37238586762138437,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832155,0.893922980747877,-0.6436839860326751,0.3714070887761142,-0.723098288447491,-0.7798068417978247,0.006978777006882241,-0.4223978651051752,-1.0679943152251914,-1.104854345146385,0.15768261681221227,-0.14607303230841703,-0.9962139281436823,-0.9513061406240364,-0.39791874405371624,-0.08600269459266764,-0.44268203047636284,-0.29792902626589324,0.31877312809544595,0.5196979348638487,-0.45722827865334015,-0.2047788554250418,0.5845901335715106,-0.6936078855502349,0.30850305167594577,0.07434292677348396,-0.737456887975797,0.35188579605591597,-0.9553331456454794,0.3530207742787657,-0.24146050293994223,0.17575907886156927,-0.1320742022163357,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
843000,0.9366952274269723,-1.0364731532227645,0.6733081504709094,-0.22963496540073458,-0.5449991095399838,-0.3677269609537359,-0.8510704139409524,0.5181612731213309,-1.3138348689376285,-0.9680842082662702,-0.5098812356066987,-0.8726316903943478,-1.4990764579444456,-0.2533440461868597,-0.06554586175400486,0.3410456746700066,0.07829959685936978,0.0735800826489465,-0.31170666104592115,-0.8377676219665287,0.0925379414017913,1.3223381260133178,-1.4678246094698213,-0.05405189408164735,0.6412314272890208,-1.016074408052683,-0.16681436078007672,-0.2635603350167358,-1.269702399047862,0.059104154791906637,0.8124831157675053,1.1692336873998435,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845970,0.7632423553613298,-0.969633393568084,0.8570533025061108,2.110840778661125,-0.6277063607382087,-0.14072050315358214,-0.0063987969918876154,0.4624035400504125,-1.525258775678327,-0.9172013723595198,-0.4187219299760469,-1.046104041885272,-0.7845689761339218,-0.6304581038008443,-0.47595015167167665,0.5551943005432841,0.588536638700199,0.9497734206330273,-0.22240890643546787,-1.9655182654453767,-0.2047788554250418,0.5319558442998684,-1.8183716370933054,-0.5342830932927995,0.8319920335445521,-1.0282768436666405,-0.49012636113941505,-0.34250123816884587,0.12221981253386095,-0.26238122965928656,-0.14557245711438077,-0.17491669954399086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
